fips,county,state,income-2015,income-1989a,income-1989b,change
00000,US,US,55775,28906,53367.28102,4.316842639
01000,Alabama,AL,44833,22202,40990.11877,8.571546027
01001,Autauga County,AL,56580,26898,49660.0403,12.23039891
01003,Baldwin County,AL,52387,24043,44389.03818,15.26707356
01005,Barbour County,AL,31433,18673,34474.75398,-9.676944538
01007,Bibb County,AL,40767,19604,36193.59915,11.2183895
01009,Blount County,AL,50487,24035,44374.26829,12.10753601
01011,Bullock County,AL,28251,13273,24505.08271,13.25941484
01013,Butler County,AL,33868,16683,30800.74549,9.056497304
01015,Calhoun County,AL,42091,23688,43733.6246,-3.902555421
01017,Chambers County,AL,35560,21277,39282.35101,-10.46780373
01019,Cherokee County,AL,39144,21072,38903.87275,0.613445875
01021,Chilton County,AL,42767,21144,39036.8017,8.722141612
01023,Choctaw County,AL,35089,18426,34018.73383,3.050147259
01025,Clarke County,AL,37317,20030,36980.09544,0.902817911
01027,Clay County,AL,38908,19481,35966.5122,7.56011053
01029,Cleburne County,AL,42136,22445,41438.75398,1.654751337
01031,Coffee County,AL,46858,25856,47736.26299,-1.874307462
01033,Colbert County,AL,41171,21964,40550.71474,1.506607223
01035,Conecuh County,AL,29981,16284,30064.09756,-0.277167409
01037,Coosa County,AL,36078,19215,35475.41357,1.670232347
01039,Covington County,AL,36355,18965,35013.85472,3.689025666
01041,Crenshaw County,AL,36759,15765,29105.90138,20.81965946
01043,Cullman County,AL,39290,22311,41191.35843,-4.839293537
01045,Dale County,AL,45294,23419,43236.98727,4.541468462
01047,Dallas County,AL,29682,15962,29469.60976,0.715552334
01049,DeKalb County,AL,37305,20404,37670.58749,-0.979995944
01051,Elmore County,AL,53548,25448,46982.99894,12.26003037
01053,Escambia County,AL,36840,19506,36012.66808,2.245743538
01055,Etowah County,AL,42145,22255,41087.96925,2.508081037
01057,Fayette County,AL,37085,21425,39555.59385,-6.661976134
01059,Franklin County,AL,38535,19607,36199.13786,6.061663792
01061,Geneva County,AL,36289,19515,36029.2842,0.7156874
01063,Greene County,AL,25398,12303,22714.23436,10.5668385
01065,Hale County,AL,35470,12949,23906.90244,32.59965481
01067,Henry County,AL,42501,20669,38159.83987,10.21425408
01069,Houston County,AL,43568,24816,45816.17815,-5.160159188
01071,Jackson County,AL,40201,23015,42491.10817,-5.696644774
01073,Jefferson County,AL,48415,24448,45136.76352,6.77111738
01075,Lamar County,AL,36520,21093,38942.64369,-6.633745045
01077,Lauderdale County,AL,43008,23755,43857.32238,-1.97480091
01079,Lawrence County,AL,41771,21579,39839.9141,4.623030083
01081,Lee County,AL,46442,23594,43560.07847,6.205420798
01083,Limestone County,AL,55060,26176,48327.05832,12.22837209
01085,Lowndes County,AL,31117,13301,24556.77731,21.08243948
01087,Macon County,AL,29522,15374,28384.02333,3.854673363
01089,Madison County,AL,59117,33565,61968.89183,-4.824148442
01091,Marengo County,AL,35389,18240,33675.33404,4.842368984
01093,Marion County,AL,34977,20098,37105.63945,-6.085826253
01095,Marshall County,AL,40599,21850,40340.2439,0.637345988
01097,Mobile County,AL,42530,21923,40475.01909,4.831838495
01099,Monroe County,AL,35163,19867,36679.15907,-4.311802368
01101,Montgomery County,AL,42666,25502,47082.69565,-10.35179218
01103,Morgan County,AL,47234,28343,52327.85048,-10.78428775
01105,Perry County,AL,26218,11248,20766.45599,20.79313452
01107,Pickens County,AL,33160,17165,31690.63097,4.43114908
01109,Pike County,AL,34442,17732,32737.44645,4.949055085
01111,Randolph County,AL,37333,18853,34807.07635,6.765927324
01113,Russell County,AL,36124,20247,37380.72853,-3.478929592
01115,St. Clair County,AL,53558,24336,44929.98515,16.10966587
01117,Shelby County,AL,70879,36980,68273.78579,3.675579805
01119,Sumter County,AL,25931,14425,26631.94592,-2.703119499
01121,Talladega County,AL,37911,20464,37781.36161,0.341954546
01123,Tallapoosa County,AL,39051,21509,39710.67762,-1.689272041
01125,Tuscaloosa County,AL,47868,23778,43899.78579,8.28991019
01127,Walker County,AL,37305,20838,38471.85366,-3.127874705
01129,Washington County,AL,42658,21025,38817.09968,9.003939046
01131,Wilcox County,AL,23014,13401,24741.40085,-7.505869681
01133,Winston County,AL,36497,19317,35663.72959,2.283120294
02000,Alaska,AK,73391,33885,62559.68717,14.7583666
02013,Aleutians East Borough,AK,57015,.,null,null
02016,Aleutians West Census Area,AK,80695,.,null,null
02020,Anchorage Borough,AK,77791,40761,75254.40191,null
02050,Bethel Census Area,AK,44849,23163,42764.35101,null
02060,Bristol Bay Borough,AK,66373,31480,58119.49099,null
02068,Denali Borough*,AK,73000,null,null,null
02070,Dillingham Census Area,AK,50753,36084,66619.55885,null
02090,Fairbanks North Star Borough,AK,70881,33602,62037.20255,null
02100,Haines Borough,AK,57876,40078,73993.42312,null
02105,Hoonah-Angoon Census Area*,AK,53726,null,null,null
02110,Juneau Borough,AK,82892,40991,75679.03606,null
02122,Kenai Peninsula Borough,AK,62025,36507,67400.51644,null
02130,Ketchikan Gateway Borough,AK,65314,42443,78359.76988,null
02150,Kodiak Island Borough,AK,67515,41872,77305.56946,null
02158,Kusilvak Census Area**,AK,33511,21289,39304.50583,null
02164,Lake and Peninsula Borough,AK,42120,.,null,null
02170,Matanuska-Susitna Borough,AK,76601,32356,59736.79321,null
02180,Nome Census Area,AK,52952,24449,45138.60976,null
02185,North Slope Borough,AK,70834,36674,67708.83775,null
02188,Northwest Arctic Borough,AK,53774,.,null,null
02195,Petersburg Borough*,AK,63098,null,null,null
02198,Prince of Wales-Hyder Census Area*,AK,45305,null,null,null
02220,Sitka Borough,AK,68472,39392,72726.90562,null
02230,Skagway Municipality*,AK,65878,null,null,null
02240,Southeast Fairbanks Census Area,AK,60203,28224,52108.14846,null
02261,Valdez-Cordova Census Area,AK,70101,46460,85776.09756,null
02275,Wrangell City and Borough*,AK,54500,null,null,null
02282,Yakutat Borough*,AK,53795,null,null,null
02290,Yukon-Koyukuk Census Area,AK,37755,23368,43142.82927,null
04000,Arizona,AZ,51473,28924,53400.51326,null
04001,Apache County,AZ,31072,17446,32209.42312,null
04003,Cochise County,AZ,43451,23959,44233.9544,null
04005,Coconino County,AZ,51955,25450,46986.69141,null
04007,Gila County,AZ,41346,20404,37670.58749,null
04009,Graham County,AZ,44169,20086,37083.48462,null
04011,Greenlee County,AZ,58854,29241,53985.76988,null
04012,La Paz County,AZ,34835,.,null,null
04013,Maricopa County,AZ,56017,30746,56764.35419,null
04015,Mohave County,AZ,40360,20839,38473.69989,null
04017,Navajo County,AZ,37658,20761,38329.69353,null
04019,Pima County,AZ,47107,24839,45858.64157,null
04021,Pinal County,AZ,50888,21491,39677.44539,null
04023,Santa Cruz County,AZ,34893,20217,37325.34146,null
04025,Yavapai County,AZ,47220,21249,39230.65642,null
04027,Yuma County,AZ,40426,20972,38719.2492,null
05000,Arkansas,AR,42046,20729,38270.614,null
05001,Arkansas County,AR,41179,20242,37371.49735,null
05003,Ashley County,AR,39871,21764,40181.46766,null
05005,Baxter County,AR,36902,18428,34022.4263,null
05007,Benton County,AR,60294,24715,45629.70838,null
05009,Boone County,AR,40909,20128,37161.02651,null
05011,Bradley County,AR,37331,17672,32626.67232,null
05013,Calhoun County,AR,40526,19056,35181.86214,null
05015,Carroll County,AR,37587,18128,33468.55567,null
05017,Chicot County,AR,29968,13229,24423.84836,null
05019,Clark County,AR,37856,19094,35252.01909,null
05021,Clay County,AR,35324,16719,30867.20997,null
05023,Cleburne County,AR,43913,18615,34367.67232,null
05025,Cleveland County,AR,44123,20244,37375.18982,null
05027,Columbia County,AR,38057,19854,36655.15801,null
05029,Conway County,AR,43702,19695,36361.60657,null
05031,Craighead County,AR,42460,22682,41876.31177,null
05033,Crawford County,AR,46545,21300,39324.81442,null
05035,Crittenden County,AR,37371,18787,34685.22481,null
05037,Cross County,AR,39132,19075,35216.94062,null
05039,Dallas County,AR,33352,18898,34890.15695,null
05041,Desha County,AR,30987,16801,31018.60127,null
05043,Drew County,AR,39339,19481,35966.5122,null
05045,Faulkner County,AR,51157,23952,44221.03075,null
05047,Franklin County,AR,41933,19594,36175.1368,null
05049,Fulton County,AR,34717,15066,27815.38282,null
05051,Garland County,AR,37723,19689,36350.52916,null
05053,Grant County,AR,47652,25298,46706.06363,null
05055,Greene County,AR,43996,20330,37533.96607,14.68777601
05057,Hempstead County,AR,34560,17728,32730.06151,5.294960921
05059,Hot Spring County,AR,39851,19678,36330.22057,8.834858416
05061,Howard County,AR,33199,18915,34921.54295,-5.188538655
05063,Independence County,AR,38241,20862,38516.16331,-0.719550505
05065,Izard County,AR,35355,15934,29417.91516,16.79277283
05067,Jackson County,AR,32571,17763,32794.67975,-0.686745097
05069,Jefferson County,AR,36990,20779,38362.92577,-3.711613325
05071,Johnson County,AR,35877,17943,33127.00212,7.665071994
05073,Lafayette County,AR,33864,15513,28640.65005,15.42449193
05075,Lawrence County,AR,34808,16719,30867.20997,11.32150664
05077,Lee County,AR,28481,13156,24289.07317,14.71832741
05079,Lincoln County,AR,40216,17946,33132.54083,17.61353484
05081,Little River County,AR,39265,20901,38588.16649,1.723757825
05083,Logan County,AR,37924,18093,33403.93743,11.91873897
05085,Lonoke County,AR,56240,24291,44846.90456,20.25799331
05087,Madison County,AR,41007,17467,32248.19406,21.3592946
05089,Marion County,AR,34946,16318,30126.86957,13.79022044
05091,Miller County,AR,39005,20942,38663.86214,0.874600328
05093,Mississippi County,AR,34888,18665,34459.98409,1.226828442
05095,Monroe County,AR,30801,14847,27411.05726,11.00595025
05097,Montgomery County,AR,37813,15701,28987.74231,23.33921585
05099,Nevada County,AR,35914,17553,32406.97031,9.765076829
05101,Newton County,AR,33679,14500,26770.41357,20.51303906
05103,Ouachita County,AR,37987,20779,38362.92577,-0.989616892
05105,Perry County,AR,43020,18913,34917.85048,18.83344845
05107,Phillips County,AR,28224,13638,25178.95864,10.78883701
05109,Pike County,AR,36266,17832,32922.06999,9.220564746
05111,Poinsett County,AR,32756,17666,32615.59491,0.428639303
05113,Polk County,AR,34723,15884,29325.60339,15.54415404
05115,Pope County,AR,41074,22707,41922.46766,-2.065704963
05117,Prairie County,AR,39518,18802,34712.91835,12.15922277
05119,Pulaski County,AR,46473,26239,48443.37116,-4.239819155
05121,Randolph County,AR,34730,17681,32643.28844,6.008383412
05123,St. Francis County,AR,31625,15030,27748.91835,12.25638468
05125,Saline County,AR,56926,28232,52122.91835,8.437412877
05127,Scott County,AR,36028,16626,30695.51007,14.80096016
05129,Searcy County,AR,30427,12232,22583.15164,25.77923672
05131,Sebastian County,AR,41452,24055,44411.193,-7.138842519
05133,Sevier County,AR,41848,18894,34882.772,16.64411201
05135,Sharp County,AR,32095,15287,28223.40085,12.06293551
05137,Stone County,AR,32023,13189,24349.99894,23.96090641
05139,Union County,AR,42195,21262,39254.65748,6.96846196
05141,Van Buren County,AR,38306,16998,31382.30965,18.07468895
05143,Washington County,AR,46418,23588,43549.00106,6.18078965
05145,White County,AR,42508,19826,36603.46341,13.89041259
05147,Woodruff County,AR,31013,15171,28009.23754,9.685494664
05149,Yell County,AR,37415,18151,33511.01909,10.43426677
06000,California,CA,64483,33474,61800.88441,4.159415022
06001,Alameda County,CA,81462,34732,64123.44857,21.28422017
06003,Alpine County,CA,50882,25097,46334.97031,8.93642092
06005,Amador County,CA,55879,27592,50941.32768,8.836364864
06007,Butte County,CA,45369,22122,40842.41994,9.977253331
06009,Calaveras County,CA,52471,27056,49951.74549,4.801232122
06011,Colusa County,CA,51118,23690,43737.31707,14.43852053
06013,Contra Costa County,CA,83036,41955,77458.807,6.716596417
06015,Del Norte County,CA,38963,21898,40428.8632,-3.762192856
06017,El Dorado County,CA,75575,32954,60840.84199,19.49607411
06019,Fresno County,CA,46608,25075,46294.35313,0.672946429
06021,Glenn County,CA,43584,21847,40334.7052,7.455246888
06023,Humboldt County,CA,40739,23408,43216.67869,-6.081834814
06025,Imperial County,CA,39925,18558,34262.4369,14.18300087
06027,Inyo County,CA,51697,25519,47114.08165,8.864959951
06029,Kern County,CA,51150,26614,49135.70944,3.938006964
06031,Kings County,CA,46440,23883,44093.64051,5.052453684
06033,Lake County,CA,37993,20145,37192.41251,2.107197344
06035,Lassen County,CA,54670,26252,48467.37222,11.34557853
06037,Los Angeles County,CA,59045,31123,57460.38494,2.683741313
06039,Madera County,CA,46593,23150,42740.34995,8.268731468
06041,Marin County,CA,99868,47104,86965.07317,12.9199812
06043,Mariposa County,CA,44595,22238,41056.58324,7.934559379
06045,Mendocino County,CA,43237,24307,44876.44433,-3.791762441
06047,Merced County,CA,42879,25032,46214.96501,-7.779950571
06049,Modoc County,CA,38402,21788,40225.77731,-4.749172716
06051,Mono County,CA,53992,29104,53732.83563,0.480005129
06053,Monterey County,CA,60047,29417,54310.70732,9.553004618
06055,Napa County,CA,72683,34186,63115.40403,13.16345771
06057,Nevada County,CA,57627,29021,53579.59809,7.023447184
06059,Orange County,CA,78002,39592,73096.1527,6.289386549
06061,Placer County,CA,76203,35182,64954.25451,14.76155203
06063,Plumas County,CA,46813,25551,47173.16119,-0.769361476
06065,Riverside County,CA,57895,30192,55741.53977,3.719596223
06067,Sacramento County,CA,58735,30024,55431.37222,5.624632304
06069,San Benito County,CA,76521,30569,56437.57052,26.24564431
06071,San Bernardino County,CA,53526,30550,56402.49205,-5.37400898
06073,San Diego County,CA,67053,31627,58390.88759,12.91830702
06075,San Francisco County,CA,90527,30166,55693.53765,38.47853387
06077,San Joaquin County,CA,53341,28001,51696.43796,3.08311062
06079,San Luis Obispo County,CA,61761,27756,51244.11029,17.02836695
06081,San Mateo County,CA,101133,43417,80158.00318,20.74001248
06083,Santa Barbara County,CA,63049,32500,60002.65111,4.831716421
06085,Santa Clara County,CA,102191,44316,81817.76882,19.93642412
06087,Santa Cruz County,CA,64841,30892,57033.90456,12.04036866
06089,Shasta County,CA,45943,24335,44928.13892,2.208956928
06091,Sierra County,CA,47535,25954,47917.19406,-0.804026636
06093,Siskiyou County,CA,37447,22077,40759.33934,-8.845406421
06095,Solano County,CA,67202,35576,65681.67126,2.262326624
06097,Sonoma County,CA,66463,32477,59960.1877,9.784108904
06099,Stanislaus County,CA,51949,27207,50230.52704,3.308000074
06101,Sutter County,CA,50810,25920,47854.42206,5.816921753
06103,Tehama County,CA,40292,21236,39206.65536,2.693697619
06105,Trinity County,CA,37669,22865,42214.17285,-12.06608313
06107,Tulare County,CA,42637,21571,39825.14422,6.59487248
06109,Tuolumne County,CA,53136,25463,47010.69247,11.52760375
06111,Ventura County,CA,79285,39555,73027.84199,7.891982098
06113,Yolo County,CA,58766,27781,51290.26617,12.72118883
06115,Yuba County,CA,46500,20122,37149.9491,20.10763635
08000,Colorado,CO,63945,28368,52374.00636,18.09522815
08001,Adams County,CO,62991,29351,54188.85578,13.97365373
08003,Alamosa County,CO,40067,20658,38139.53128,4.810614014
08005,Arapahoe County,CO,67062,38768,71574.85472,-6.729376874
08007,Archuleta County,CO,50361,19839,36627.46448,27.27018035
08009,Baca County,CO,35405,19605,36195.44539,-2.232581237
08011,Bent County,CO,36630,20995,38761.71262,-5.81958127
08013,Boulder County,CO,72392,34200,63141.25133,12.77868918
08014,Broomfield County*,CO,86548,null,null,null
08015,Chaffee County,CO,50947,21482,39660.82927,22.15276804
08017,Cheyenne County,CO,50620,25969,47944.88759,5.284694601
08019,Clear Creek County,CO,67262,29498,54460.25239,19.03265977
08021,Conejos County,CO,37102,14560,26881.1877,27.54787424
08023,Costilla County,CO,27944,11376,21002.77413,24.83977195
08025,Crowley County,CO,35405,17246,31840.17603,10.06870206
08027,Custer County,CO,43995,20803,38407.23542,12.70090824
08029,Delta County,CO,42586,18217,33632.87063,21.0236448
08031,Denver County,CO,57886,24845,45869.71898,20.75852714
08033,Dolores County,CO,44829,21290,39306.35207,12.31936455
08035,Douglas County,CO,109926,51202,94530.94592,14.00492521
08037,Eagle County,CO,75191,33000,60925.76882,18.97199289
08039,Elbert County,CO,90270,34785,64221.29905,28.85643177
08041,El Paso County,CO,60050,28225,52109.9947,13.22232357
08043,Fremont County,CO,41967,20375,37617.04666,10.36517583
08045,Garfield County,CO,64487,28277,52205.99894,19.04415008
08047,Gilpin County,CO,67389,33126,61158.39449,9.245730778
08049,Grand County,CO,59885,27424,50631.16013,15.4526841
08051,Gunnison County,CO,47619,23661,43683.77625,8.263978147
08053,Hinsdale County,CO,58613,23826,43988.40509,24.95111137
08055,Huerfano County,CO,33098,15666,28923.12407,12.61368037
08057,Jackson County,CO,46905,24168,44619.8176,4.871937739
08059,Jefferson County,CO,71209,37713,69627.07635,2.221522066
08061,Kiowa County,CO,42108,30465,56245.56204,-33.57452749
08063,Kit Carson County,CO,44090,27016,49877.89608,-13.12745765
08065,Lake County,CO,45913,23208,42847.4316,6.676907191
08067,La Plata County,CO,60732,24765,45722.02015,24.71510876
08069,Larimer County,CO,64935,30245,55839.39024,14.00725303
08071,Las Animas County,CO,38858,17148,31659.24496,18.52579916
08073,Lincoln County,CO,43188,22360,41281.82397,4.413670543
08075,Logan County,CO,46306,24798,45782.94592,1.129560063
08077,Mesa County,CO,51449,23726,43803.78155,14.8597999
08079,Mineral County,CO,50481,19748,36459.45705,27.77588191
08081,Moffat County,CO,59173,34116,62986.16755,-6.444100435
08083,Montezuma County,CO,42975,21359,39433.74231,8.240273853
08085,Montrose County,CO,46860,23496,43379.1474,7.428195899
08087,Morgan County,CO,49087,24728,45653.70944,6.994296987
08089,Otero County,CO,34970,18751,34618.76034,1.004402804
08091,Ouray County,CO,60402,25252,46621.1368,22.81524321
08093,Park County,CO,63319,32912,60763.30011,4.036229084
08095,Phillips County,CO,48562,25066,46277.73701,4.703807484
08097,Pitkin County,CO,76663,34160,63067.40191,17.73423697
08099,Prowers County,CO,41348,22047,40703.95228,1.557627261
08101,Pueblo County,CO,40540,20906,38597.39767,4.791816312
08103,Rio Blanco County,CO,61426,27051,49942.51432,18.69482904
08105,Rio Grande County,CO,40259,22032,40676.25875,-1.036435949
08107,Routt County,CO,70989,29187,53886.07317,24.09236196
08109,Saguache County,CO,34209,16021,29578.53765,13.53580156
08111,San Juan County,CO,43489,29783,54986.42948,-26.43755773
08113,San Miguel County,CO,62793,24928,46022.95652,26.70686777
08115,Sedgwick County,CO,40325,23708,43770.54931,-8.544449624
08117,Summit County,CO,69633,31917,58926.29586,15.3759053
08119,Teller County,CO,66191,31329,57840.70944,12.61544706
08121,Washington County,CO,47592,24478,45192.15058,5.042547942
08123,Weld County,CO,69434,25909,47834.11347,31.10851533
08125,Yuma County,CO,48934,24240,44752.74655,8.544679459
09000,Connecticut,CT,71333,39548,73014.91835,-2.357840475
09001,Fairfield County,CT,86297,45517,84035.09756,2.62106729
09003,Hartford County,CT,69260,37855,69889.24178,-0.908521198
09005,Litchfield County,CT,70847,39231,72429.66172,-2.233914941
09007,Middlesex County,CT,82878,41596,76796.00848,7.338487314
09009,New Haven County,CT,61758,36601,67574.06257,-9.417504722
09011,New London County,CT,65602,36422,67243.58643,-2.502342042
09013,Tolland County,CT,81616,43520,80348.16543,1.553414245
09015,Windham County,CT,61303,32042,59157.07529,3.500521522
10000,Delaware,DE,61327,31606,58352.11665,4.850854193
10001,Kent County,DE,55678,27452,50682.85472,8.971488346
10003,New Castle County,DE,66179,34383,63479.11241,4.079674206
10005,Sussex County,DE,54309,24774,45738.63627,15.78074303
11000,District of Columbia,DC,73115,29322,54135.31495,25.95867476
11001,District of Columbia,DC,73115,29322,54135.31495,25.95867476
12000,Florida,FL,49416,26589,49089.55355,0.660608806
12001,Alachua County,FL,47023,23673,43705.93107,7.054141439
12003,Baker County,FL,50883,25409,46910.99576,7.806151842
12005,Bay County,FL,47745,23194,42821.58431,10.31189799
12007,Bradford County,FL,40879,21097,38950.02863,4.718734235
12009,Brevard County,FL,50352,29229,53963.61506,-7.172734069
12011,Broward County,FL,53624,27615,50983.79109,4.923558309
12013,Calhoun County,FL,36062,17648,32582.36267,9.64904145
12015,Charlotte County,FL,45495,22546,41625.22375,8.505937457
12017,Citrus County,FL,39982,18192,33586.71474,15.99541108
12019,Clay County,FL,59244,33668,62159.05408,-4.920420773
12021,Collier County,FL,62385,30883,57017.28844,8.604170167
12023,Columbia County,FL,43303,21685,40035.61506,7.545400877
12027,DeSoto County,FL,34380,18157,33522.0965,2.49535631
12029,Dixie County,FL,35749,14637,27023.34783,24.40810141
12031,Duval County,FL,49565,26139,48258.74761,2.635433039
12033,Escambia County,FL,45735,23493,43373.6087,5.163203901
12035,Flagler County,FL,50347,23618,43604.38812,13.39228132
12037,Franklin County,FL,38220,15260,28173.55249,26.28583859
12039,Gadsden County,FL,36637,17056,31489.3913,14.05030078
12041,Gilchrist County,FL,39342,19150,35355.40827,10.13316997
12043,Glades County,FL,40215,18259,33710.41251,16.17453061
12045,Gulf County,FL,41320,21414,39535.28526,4.319251549
12047,Hamilton County,FL,33497,18439,34042.73489,-1.629205268
12049,Hardee County,FL,35850,19064,35196.63203,1.82250481
12051,Hendry County,FL,39320,22470,41484.90986,-5.505874522
12053,Hernando County,FL,43103,19843,36634.84942,15.00626542
12055,Highlands County,FL,34691,18854,34808.92259,-0.33992271
12057,Hillsborough County,FL,51710,27575,50909.94168,1.547202329
12059,Holmes County,FL,35202,16538,30533.04136,13.26333345
12061,Indian River County,FL,49887,26974,49800.35419,0.173684149
12063,Jackson County,FL,36751,19014,35104.32025,4.48063929
12065,Jefferson County,FL,42210,17433,32185.42206,23.74929624
12067,Lafayette County,FL,40345,18709,34541.21845,14.38537997
12069,Lake County,FL,49711,20682,38183.84093,23.18834678
12071,Lee County,FL,50713,26005,48011.35207,5.327328165
12073,Leon County,FL,46405,27391,50570.23436,-8.975830963
12075,Levy County,FL,36005,17162,31685.09226,11.99807733
12077,Liberty County,FL,39623,18637,34408.2895,13.16081695
12079,Madison County,FL,34360,17213,31779.25027,7.510913082
12081,Manatee County,FL,50728,23842,44017.94486,13.22751763
12083,Marion County,FL,40053,20060,37035.4825,7.533811443
12085,Martin County,FL,53459,30281,55905.85472,-4.577067882
12086,Miami-Dade County**,FL,43687,23349,43107.7508,1.325907489
12087,Monroe County,FL,58332,25610,47282.08908,18.94313742
12089,Nassau County,FL,55707,30161,55684.30647,0.040737306
12091,Okaloosa County,FL,55391,27022,49888.97349,9.933069472
12093,Okeechobee County,FL,35787,19400,35816.96713,-0.083737464
12095,Orange County,FL,50593,27647,51042.87063,-0.889195394
12097,Osceola County,FL,45127,23798,43936.7105,2.637643764
12099,Palm Beach County,FL,56638,30426,56173.55885,0.820016853
12101,Pasco County,FL,46080,18451,34064.88971,26.07445809
12103,Pinellas County,FL,47591,24577,45374.92789,4.656494107
12105,Polk County,FL,44024,22028,40668.87381,7.621129822
12107,Putnam County,FL,32351,18783,34677.83987,-7.192482065
12109,St. Johns County,FL,71896,27106,50044.05726,30.39382265
12111,St. Lucie County,FL,45918,22591,41708.30435,9.167854985
12113,Santa Rosa County,FL,59289,26352,48651.99576,17.94094055
12115,Sarasota County,FL,55882,27947,51596.74125,7.668406193
12117,Seminole County,FL,57357,33906,62598.45811,-9.138305895
12119,Sumter County,FL,54592,17208,31770.01909,41.80462506
12121,Suwannee County,FL,37368,19118,35296.32874,5.543971478
12123,Taylor County,FL,39116,20775,38355.54083,1.944112826
12125,Union County,FL,41078,21920,40469.48038,1.481375963
12127,Volusia County,FL,42334,21949,40523.02121,4.277835289
12129,Wakulla County,FL,48703,22011,40637.4878,16.56060652
12131,Walton County,FL,47875,18251,33695.64263,29.61745665
12133,Washington County,FL,36328,17190,31736.78685,12.63822162
13000,Georgia,GA,51225,27317,50433.61294,1.544923499
13001,Appling County,GA,39588,19475,35955.43478,9.175925072
13003,Atkinson County,GA,32398,15724,29030.20573,10.39506844
13005,Bacon County,GA,35431,19142,35340.63839,0.255035454
13007,Baker County,GA,34455,17242,31832.79109,7.610532311
13009,Baldwin County,GA,38015,25510,47097.46554,-23.89179412
13011,Banks County,GA,44146,24643,45496.77943,-3.05980027
13013,Barrow County,GA,53789,25288,46687.60127,13.20232525
13015,Bartow County,GA,50900,26312,48578.14634,4.561598543
13017,Ben Hill County,GA,30776,18276,33741.79852,-9.636725095
13019,Berrien County,GA,35518,21597,39873.14634,-12.26180061
13021,Bibb County,GA,38870,25474,47031.00106,-20.99562918
13023,Bleckley County,GA,42716,24248,44767.51644,-4.80268854
13025,Brantley County,GA,37709,21869,40375.32238,-7.070785158
13027,Brooks County,GA,36820,15345,28330.4825,23.05681015
13029,Bryan County,GA,69650,27383,50555.46448,27.41498281
13031,Bulloch County,GA,36544,23420,43238.83351,-18.31992532
13033,Burke County,GA,36977,16559,30571.8123,17.32208589
13035,Butts County,GA,44166,22099,40799.95652,7.621345556
13037,Calhoun County,GA,30972,15302,28251.09438,8.785049788
13039,Camden County,GA,52706,26604,49117.24708,6.809002611
13043,Candler County,GA,32806,17839,32934.99364,-0.393201357
13045,Carroll County,GA,45453,24327,44913.36903,1.187228489
13047,Catoosa County,GA,50979,27403,50592.38918,0.758372696
13049,Charlton County,GA,37037,19649,36276.67975,2.05286674
13051,Chatham County,GA,48885,25154,46440.20573,5.001113375
13053,Chattahoochee County,GA,41066,24067,44433.34783,-8.19984373
13055,Chattooga County,GA,38063,21349,39415.27996,-3.552741396
13057,Cherokee County,GA,74885,37832,69846.77837,6.727945026
13059,Clarke County,GA,33302,22936,42345.25557,-27.15529268
13061,Clay County,GA,25941,11858,21892.6596,15.60595352
13063,Clayton County,GA,41731,31941,58970.60551,-41.31126864
13065,Clinch County,GA,31848,18346,33871.03499,-6.352157105
13067,Cobb County,GA,70097,41423,76476.60976,-9.101116676
13069,Coffee County,GA,34775,19360,35743.11771,-2.783947403
13071,Colquitt County,GA,34151,19435,35881.58537,-5.067451512
13073,Columbia County,GA,75232,38354,70810.51326,5.877135719
13075,Cook County,GA,34505,19025,35124.62884,-1.795765379
13077,Coweta County,GA,67268,28875,53310.04772,20.74976553
13079,Crawford County,GA,43559,22936,42345.25557,2.78643778
13081,Crisp County,GA,31095,18302,33789.80064,-8.666347118
13083,Dade County,GA,43632,22268,41111.97031,5.77564561
13085,Dawson County,GA,60195,24885,45943.5684,23.67544082
13087,Decatur County,GA,37661,19551,36095.74867,4.156159756
13089,DeKalb County,GA,53994,32936,60807.60976,-12.61919798
13091,Dodge County,GA,34611,18559,34264.28314,1.001753376
13093,Dooly County,GA,32323,16816,31046.2948,3.94983509
13095,Dougherty County,GA,34799,23763,43872.09226,-26.07285341
13097,Douglas County,GA,58443,35697,65905.06575,-12.76810867
13099,Early County,GA,31935,15830,29225.90668,8.483148017
13101,Echols County,GA,34414,20654,38132.14634,-10.8041679
13103,Effingham County,GA,63255,29318,54127.93001,14.42900955
13105,Elbert County,GA,35814,19989,36904.39979,-3.04461883
13107,Emanuel County,GA,31772,16406,30289.33828,4.66656716
13109,Evans County,GA,34085,18925,34940.0053,-2.508450351
13111,Fannin County,GA,39796,17613,32517.74443,18.28891237
13113,Fayette County,GA,80588,50533,93295.81442,-15.76886686
13115,Floyd County,GA,41130,24375,45001.98834,-9.414024642
13117,Forsyth County,GA,97886,36829,67995.00424,30.53653818
13119,Franklin County,GA,40156,21252,39236.19512,2.290578937
13121,Fulton County,GA,59911,28019,51729.6702,13.65580578
13123,Gilmer County,GA,43907,20563,37964.13892,13.53511076
13125,Glascock County,GA,40732,19911,36760.39343,9.750580808
13127,Glynn County,GA,46377,25234,46587.90456,-0.45476111
13129,Gordon County,GA,44580,25916,47847.03712,-7.328481641
13131,Grady County,GA,36486,18025,33278.39343,8.791335238
13133,Greene County,GA,43326,17676,32634.05726,24.67789026
13135,Gwinnett County,GA,61797,42544,78546.23966,-27.10364526
13137,Habersham County,GA,44400,23900,44125.02651,0.61930966
